timestamp,futures_price,entry_tf_bias,entry_tf_score,htf_bias,htf_vwap,market_regime,outcome
2026-08-13 20:38:32,7772,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:33,7772,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:35,7772,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:36,7778,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:37,7778,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:38,7778,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:39,7778,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:40,7778,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:41,7778,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:42,7775,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:43,7777,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:44,7777,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:45,7775,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:46,7775,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:47,7775,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:49,7775,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:50,7775,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:51,7778,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:52,7778,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:53,7778,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:54,7778,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:55,7779,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:56,7779,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:57,7779,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:58,7779,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:38:59,7779,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:39:01,7778,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:39:02,7778,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:39:03,7778,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:39:04,7778,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:39:05,7775,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:39:06,7775,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:39:07,7776,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:39:08,7776,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
2026-08-13 20:39:09,7776,CALL,65,PUT,7855.28,LOW_VOLATILITY_BULLISH,HARD_REJECTED
